Area of usual residence,"Populations 
Number (thousands) persons all ages","Populations 
Number (thousands) males all ages","Populations 
Number (thousands) females all ages",Deaths persons all ages,Deaths males all ages,Deaths females all ages,Infant (under 1 year) deaths,Neonatal (under 4 weeks) deaths,Perinatal (stillbirths and deaths under 1 week) Deaths,Crude death rate (deaths per 1‚000 population),Age­standardised mortality rate [note 2] of Persons ,Lower confidence limit,Upper confidence limit,Age­standardised mortality rate [note 2] of Males,Lower confidence limit,Upper confidence limit,Age­standardised mortality rate [note 2] of Females ,Lower confidence limit,Upper confidence limit,"Infant mortality rate (per 1,000 live births)","Neonatal mortality rate (per 1,000 live births)","Perinatal mortality rate (per 1,000 births and stillbirths)"
Grampian,585.6,291.1,294.5,"5,914","2,972","2,942",20,11,24,10.1,"1,079.8","1,052.1","1,107.5","1,257.9","1,211.2","1,304.5",935.8,901.8,969.7,3.9,2.1u,4.6
Greater Glasgow and Clyde,"1,185.2",576.5,608.7,"14,477","7,182","7,295",32,19,58,12.2,"1,399.6","1,376.7","1,422.6","1,676.5","1,636.5","1,716.6","1,186.0","1,158.6","1,213.4",3.1,1.8u,5.5
Highland,320.9,158.2,162.7,"3,861","1,986","1,875",10,6,16,12.0,"1,058.3","1,024.6","1,092.0","1,244.4","1,188.1","1,300.6",900.2,859.1,941.3,4.1u,2.4u,6.5u
Lanarkshire,662.0,320.4,341.6,"8,358","4,185","4,173",25,19,46,12.6,"1,384.8","1,354.6","1,415.0","1,636.8","1,584.5","1,689.2","1,194.4","1,157.9","1,230.8",4.2,3.2u,7.7
Lothian,912.5,444.7,467.8,"8,816","4,368","4,448",18,15,37,9.7,"1,138.1","1,114.2","1,162.0","1,330.1","1,289.6","1,370.7",984.7,955.6,"1,013.7",2.2u,1.8u,4.5
Orkney,22.4,11.2,11.2,254,126,128,0,0,0,11.3,946.7,829.8,"1,063.7","1,057.2",868.4,"1,246.0",856.4,707.5,"1,005.3",:,:,:
Shetland,22.9,11.6,11.3,208,106,102,0,0,0,9.1,904.9,780.6,"1,029.2",975.6,781.3,"1,169.9",804.6,648.2,961.1,:,:,:
Tayside,416.6,203.1,213.5,"5,259","2,623","2,636",11,7,27,12.6,"1,141.9","1,110.9","1,173.0","1,342.3","1,290.0","1,394.5",978.4,940.6,"1,016.2",3.3u,2.1u,8.1
Western Isles,26.5,13.1,13.4,356,176,180,1,1,2,13.4,"1,018.3",911.3,"1,125.3","1,153.4",980.2,"1,326.6",874.9,743.7,"1,006.1",:,:,:
NORTHERN IRELAND,"1,895.5",934.2,961.4,"17,614","8,733","8,881",93,76,130,9.3,"1,072.4","1,056.5","1,088.3","1,256.2","1,228.8","1,283.6",930.9,911.5,950.3,4.5,3.7,6.2
Belfast,359.2,175.0,184.2,"3,725","1,816","1,909",25,23,31,10.4,"1,204.0","1,165.1","1,242.9","1,439.0","1,371.1","1,506.8","1,026.9",980.2,"1,073.7",6.5,6.0,8.0
Northern,480.2,236.4,243.8,"4,663","2,298","2,365",17,11,26,9.7,"1,069.1","1,038.3","1,100.0","1,247.2","1,194.1","1,300.3",931.8,894.2,969.5,3.3u,2.2u,5.1
Southern,388.7,194.1,194.5,"3,049","1,579","1,470",26,21,38,7.8,"1,012.2",976.0,"1,048.5","1,213.6","1,150.6","1,276.6",853.5,809.8,897.3,5.4,4.4,7.9
South Eastern,364.2,177.8,186.4,"3,552","1,705","1,847",17,15,20,9.8,"1,022.9",989.1,"1,056.6","1,169.1","1,111.6","1,226.5",910.1,868.5,951.7,4.7u,4.2u,5.6
Western,303.2,150.8,152.4,"2,625","1,335","1,290",8,6,15,8.7,"1,070.4","1,029.0","1,111.8","1,241.6","1,171.5","1,311.7",941.0,889.5,992.4,2.3u,1.7u,4.3u
